,Alpha,Avg_MSE,Avg_R2
0,0.1,0.9566069283345531,0.0744432121037603
1,0.101,0.9583115327794592,0.07345354096007103
2,0.10200000000000001,0.9600270104330472,0.07245530689756503
3,0.10300000000000001,0.9616875135573082,0.07147993605999925
4,0.10400000000000001,0.9631876004041642,0.07060156295374534
5,0.10500000000000001,0.9646544317172665,0.06981202019004981
6,0.10600000000000001,0.9660463968018954,0.06916587338191327
7,0.10700000000000001,0.9674786797010025,0.06844876874408075
8,0.10800000000000001,0.9689097597745879,0.06770176320434493
9,0.10900000000000001,0.9703499026052741,0.06694762211366889
10,0.11,0.9714685562912978,0.06634425149655883
11,0.111,0.972229662237031,0.06590892860551605
12,0.112,0.9729907854464669,0.06547061059731203
13,0.113,0.9737565654038212,0.06502621328679618
14,0.114,0.9745302422064827,0.06457481595266076
15,0.115,0.9753123260426235,0.06411588216948798
16,0.116,0.9760655970442539,0.06370980535903976
17,0.117,0.9767747452173807,0.0633775480567221
18,0.11800000000000001,0.977488055225263,0.06304022806619314
19,0.11900000000000001,0.9782055203502258,0.06269785065316003
20,0.12000000000000001,0.9789082463594794,0.062359425184960494
21,0.12100000000000001,0.9795127679960297,0.0620646812909869
22,0.122,0.9800611031758854,0.0617921611987585
23,0.123,0.9806135141148926,0.061514571060700796
24,0.124,0.981162778965224,0.06125623165254164
25,0.125,0.9817154827712301,0.060994955949810414
26,0.126,0.9822270191221559,0.06075683361140414
27,0.127,0.9827304322396998,0.060525190089450766
28,0.128,0.9832370537227035,0.06028965129022146
29,0.129,0.9837476741280098,0.06004870403778397
30,0.13,0.9842622886624064,0.05980234625972216
31,0.131,0.9847808832046354,0.05955059439007051
32,0.132,0.9853034774871595,0.05929343167163339
33,0.133,0.985830055456882,0.05903087941019325
34,0.134,0.9863606193360288,0.05876293346105825
35,0.135,0.98689516381048,0.058489602236391436
36,0.136,0.9874336860135949,0.05821088942936696
37,0.137,0.9879761789218786,0.05792682985515951
38,0.138,0.9885099920799636,0.05764564231421341
39,0.139,0.9890467024156206,0.05735981087722706
40,0.14,0.9895874245617955,0.057068633770755106
41,0.14100000000000001,0.9901321623687707,0.056772117932190745
42,0.14200000000000002,0.9906809048806775,0.05647025926656808
43,0.14300000000000002,0.9912334493410005,0.0561637780805595
44,0.14400000000000002,0.9917871459647222,0.05586157917375947
45,0.14500000000000002,0.9923448817174435,0.055553956220099045
46,0.14600000000000002,0.9928986720009941,0.05526779362207879
47,0.14700000000000002,0.9934452300858239,0.054988748774999395
48,0.14800000000000002,0.993993525995144,0.054705674588957254
49,0.14900000000000002,0.9945456926659272,0.05441755616189481
50,0.15000000000000002,0.9951017381704812,0.05412439228421222
